School Name,State,School Sector,School Type,ABS Remoteness Area Name,Latitude,Longitude
Westbury Primary School,TAS,Government,Primary,Outer Regional,-41.53170299,146.838051
Deloraine Primary School,TAS,Government,Primary,Outer Regional,-41.52867221,146.6627154
Mole Creek Primary School,TAS,Government,Primary,Outer Regional,-41.55845075,146.405549
Latrobe Primary School,TAS,Government,Primary,Outer Regional,-41.23961898,146.4160131
Sheffield School,TAS,Government,Combined,Outer Regional,-41.38460175,146.3245746
Latrobe High School,TAS,Government,Secondary,Outer Regional,-41.23650373,146.4252532
Sassafras Primary School,TAS,Government,Primary,Outer Regional,-41.2871478,146.5033138
Devonport Primary School,TAS,Government,Primary,Outer Regional,-41.18023239,146.3574016
East Devonport Primary School,TAS,Government,Primary,Outer Regional,-41.17792747,146.3721147
Forth Primary School,TAS,Government,Primary,Outer Regional,-41.19291547,146.2485823
Hillcrest Primary School,TAS,Government,Primary,Outer Regional,-41.1870573,146.3331589
Miandetta Primary School,TAS,Government,Primary,Outer Regional,-41.1954,146.349
Nixon Street Primary School,TAS,Government,Primary,Outer Regional,-41.1729974,146.3382823
Spreyton Primary School,TAS,Government,Primary,Outer Regional,-41.21202919,146.3458559
Wilmot Primary School,TAS,Government,Primary,Outer Regional,-41.38699434,146.1753679
East Ulverstone Primary School,TAS,Government,Primary,Outer Regional,-41.15452656,146.1917543
Sprent Primary School,TAS,Government,Primary,Outer Regional,-41.26294106,146.1594276
Ulverstone Primary School,TAS,Government,Primary,Outer Regional,-41.16076112,146.1641443
West Ulverstone Primary School,TAS,Government,Primary,Outer Regional,-41.14816145,146.1595138
Riana Primary School,TAS,Government,Primary,Outer Regional,-41.20249009,145.9989877
Burnie Primary School,TAS,Government,Primary,Outer Regional,-41.0584334,145.8853029
Cooee Primary School,TAS,Government,Primary,Outer Regional,-41.0415376,145.8664653
Montello Primary School,TAS,Government,Primary,Outer Regional,-41.05990677,145.8985795
Boat Harbour Primary School,TAS,Government,Primary,Outer Regional,-40.94562609,145.6353569
Havenview Primary School,TAS,Government,Primary,Outer Regional,-41.08386446,145.9111684
Natone Primary School,TAS,Government,Primary,Outer Regional,-41.17012891,145.9217735
Ridgley Primary School,TAS,Government,Primary,Outer Regional,-41.13997773,145.8377718
Table Cape Primary School,TAS,Government,Primary,Outer Regional,-40.98316517,145.7148662
Edith Creek Primary School,TAS,Government,Primary,Outer Regional,-40.97052056,145.0934073
Forest Primary School,TAS,Government,Primary,Outer Regional,-40.84838284,145.2494153
Redpa Primary School,TAS,Government,Primary,Remote,-40.932925,144.761834
Smithton Primary School,TAS,Government,Primary,Outer Regional,-40.84946046,145.1160526
Stanley Primary School,TAS,Government,Primary,Outer Regional,-40.75956582,145.2909851
Brighton Primary School,TAS,Government,Primary,Inner Regional,-42.69909438,147.258458
Bagdad Primary School,TAS,Government,Primary,Outer Regional,-42.62489064,147.2229568
Kempton Primary School,TAS,Government,Primary,Outer Regional,-42.5311126,147.1991345
Fairview Primary School,TAS,Government,Primary,Inner Regional,-42.77432027,147.0509224
