OBJECT ID,STATE POLYGON (PID),STATE (PID),STATE NAME,STATE ABBREVIATION,DATE CREATED,DATE RETIRED,GLOBAL ID,Shape__Area,Shape__Length
17666,11580,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,111f5bff-d15e-4c28-8173-2231ebf77977,3.11592884827405E-09,0.000222561585705779
17667,11894,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,3a4bd5ea-b83e-43fc-a6f5-5bc9a5f87a44,1.66437530424446E-10,7.17794811753542E-05
17668,11895,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,2f929f60-659e-4dc2-880a-203a0ad2eabf,1.39152689371258E-10,8.41837024762708E-05
17669,11943,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,dd0de6d3-13e8-4dd1-8196-595f4e688487,6.2386789068114E-09,0.000294925077328836
17670,11944,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,28be14bf-6b30-421b-b364-d69c8c7745b6,6.23276719124988E-09,0.000290289114141647
17671,11945,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,7a519130-a24f-495e-93c3-e1e8c5133f4c,6.22776497039013E-09,0.000305185765374898
17672,11946,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,0dd28965-5e70-486e-bf2c-8856ae401be6,6.22731022303924E-09,0.000289987069014058
17673,11947,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,265b4a23-b401-40b9-bc1b-1171d094b220,6.22458173893392E-09,0.000317841375774599
17674,11948,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,ed362b24-8a58-4bff-926a-6d9bd7b7204a,6.21321305516176E-09,0.000326117416724813
17675,6657,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,6d742d7b-51f6-479a-b032-7be77d288170,2.28092631004984E-07,0.0022371271950433
17676,6658,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,4ae61787-079c-4c40-bb03-f0768058a43b,2.27828422794119E-07,0.00196083452736625
17677,6709,6,TASMANIA,TAS,9/2/2011 12:00:00 AM,,5b95c124-4cb4-43ce-9130-5ac56ad8a925,4.81960796605563E-07,0.00308382738550888
